"sold_price",".pred"
215000,226001.281862839
150000,216760.58562889
205000,203903.420714167
410000,412467.061216479
187000,184366.276845756
217500,238746.054516438
90750,103494.68696508
145000,182571.567266216
238000,257909.002581009
130000,122903.179854313
231927,224067.021686785
172000,235716.681088196
152500,214167.354827325
152000,243930.491872016
280000,259382.451196268
152000,221420.527630866
432000,524973.465333602
155000,197051.046533125
180000,230205.487266292
255000,295632.363529015
207900,215937.39184782
214376,221380.668285273
365000,233030.335111327
162500,187480.442755476
200000,217147.566292016
333000,337760.541156445
271729,266679.256546332
180000,206041.547309313
213000,221725.639685547
188900,196219.740705779
257000,246420.1239358
168750,197265.44619424
507500,480277.474048274
271000,250222.040091347
212500,246086.95474347
154000,145762.504912976
297000,267488.950194947
118000,171012.380213299
485000,379025.639876842
245000,243186.271064555
355000,421606.002744591
168000,174233.292228271
182900,186923.858954698
330000,346458.912432748
671993,632368.483087529
245900,206010.995293261
305000,314993.65914626
201000,224488.393497469
290000,260607.62223561
183000,204096.473331142
852500,594841.49946734
83000,76372.4672198482
210000,182570.827249881
310000,266807.125388677
101600,149354.06143897
