"sold_price",".pred"
242000,117828.886373372
227000,197373.748244836
141000,129525.02643007
145000,163704.05950862
317500,373230.592063824
457400,458520.268394972
289900,313421.811706128
349900,241641.883134133
189000,192636.4724626
140000,169839.295526325
200000,227606.67325887
615000,538902.659054368
210000,201038.156281889
253717,216299.780782745
360000,437489.317376538
84250,82525.4637661346
172000,123330.392289807
170000,183701.20694807
161500,201767.372264522
321000,320856.870532512
172500,183951.062381727
315000,261467.255510148
258500,241224.84350278
185000,210556.892227234
210538,232714.16202042
351729,428237.705450006
213900,200907.133686617
344000,255773.229293837
390000,419620.430302172
200000,206598.335969072
197500,233040.776030577
298000,299614.26909566
235500,235021.613460726
187000,198115.215770731
145000,117643.648321277
211500,240864.941714204
215000,244872.463578867
250000,251213.289883539
365000,302573.886037945
120890,87229.3078157561
187000,203538.120022184
217500,228306.967255044
367150,423590.493288514
317500,392543.642791325
549000,580401.713691089
310000,370534.148991494
177500,181027.258394349
164850,152272.378624031
185000,180698.775022978
230000,234970.665609572
223500,281360.951219508
265204,262273.429203488
181400,193952.656104597
416000,363800.920837866
211867,241061.798960022
191656,235159.244757907
189499,214693.267904963
165500,175021.418408155
169750,198113.701179662
190000,213543.133729184
193000,235840.208883376
161000,162922.966204853
313500,349470.803518299
245000,284026.439281578
177500,212700.216177888
170000,204625.550232919
360000,412677.668267344
336000,349670.216289351
269815,364025.667283766
240000,318693.023102387
260981,286774.554400131
383500,435083.723987306
160800,176935.632670804
249000,272098.006818133
425000,473001.177971618
358000,417911.299365825
235000,237480.988027289
278865,338952.136530793
209000,226601.765286075
175000,143911.493189116
469305,419114.340409839
365000,438012.481934637
120000,86943.5971361168
163000,178021.85754363
187500,219024.792181152
180000,208951.04262403
332900,306276.084048846
389900,409550.931241646
254900,226616.786278085
275000,363878.939277681
108500,33624.3190255036
190000,218899.241006925
259900,310343.964789834
170000,178087.289539937
188000,198141.305893385
191900,205544.653152477
135000,110910.28622783
325000,364761.563188744
142000,130047.168985403
283500,309020.307746612
290000,262534.66256577
217000,215472.928988121
145000,187833.340982828
169000,162158.541186509
155500,101156.310939317
110000,148251.667057083
149000,115378.673035259
282000,278645.937121149
271000,266279.713420349
524900,543623.874375865
261500,269143.210096426
197500,222446.807958738
351000,405167.758410283
154500,118578.120838341
375000,333571.371901782
132000,175179.383193798
245000,240045.448173326
226000,186726.338902497
182000,126012.55755136
187692,215497.045708392
140000,177942.499190088
248767,260216.547908451
179000,168322.166932815
178900,199997.494382581
368000,415246.363492767
249000,275230.825770987
195000,213277.426399574
139700,127405.917888887
190000,176425.208142308
241920,217359.677195311
240000,244692.521883426
223000,227162.619539058
184900,211014.381075298
127500,79263.4667074704
378000,461125.530984187
455000,552528.711884383
175000,180982.011123036
209000,247678.804386218
273500,174838.005082873
218000,198316.649451736
229900,253988.003229292
215000,190702.247807957
170000,194867.041131811
200000,239600.19145177
694063,489980.507632785
365000,429012.140082335
204900,180895.320380407
62000,89058.3591368342
198800,299379.589941292
230000,193100.233982276
430000,452368.7753754
283000,355009.364911314
332500,346527.673759496
237500,215147.804836354
244000,264879.995417189
235000,224600.52031666
178000,159356.29588517
218000,256359.108443625
215000,224885.760036727
222000,271226.650335999
255000,254015.72540513
344475,337467.817916717
200000,248036.806601115
410000,457147.794323804
191000,218665.295733708
185000,185101.956721275
480000,480645.574985966
315000,384349.699598509
133099,206715.494434127
141888,238815.464972992
300000,320928.692014308
192900,207885.546382142
250500,299726.234555006
162500,169733.845454922
180000,193967.868028525
324000,357677.714679043
174000,205452.111016431
75000,153585.856898108
285000,369410.904614006
155000,116566.61886343
168000,177642.617902351
210000,228235.186527899
325000,346499.404320944
212900,248393.889737299
206000,212311.805748428
350000,351500.300723687
199500,235415.882695734
249900,263318.745144979
300373,307090.540569915
281500,255271.844517482
255000,232630.733821652
230500,240582.237674839
309900,327798.046719022
403500,429431.509581586
160000,195283.598986086
425000,483537.279783804
88660,105956.039352986
62000,98024.5189016867
217000,258022.443057516
378688,304559.287609672
246989,272606.075182413
476000,454633.098478926
100000,100811.543481551
249900,296389.976797411
117450,131049.627399841
172500,221927.448452694
279446,264715.791516508
297000,265533.016200806
575373,622437.694467425
249000,250542.674112966
415500,451268.383958512
187500,222408.690365819
270000,249124.982693081
290000,405797.925643533
350000,247998.781150665
619000,380544.447768322
259900,324062.056883811
249900,295775.386681489
126500,160686.152850634
156000,106574.366645895
200000,239119.074536493
203500,270893.752480836
273000,278160.2667079
304000,369829.534296836
161000,167821.291596131
249000,220782.267175797
332500,355061.267993103
350000,459419.793500652
131200,83955.9357129173
184900,209970.733722298
199000,235193.52297113
312265,387629.706600652
157000,188854.002912703
194900,233925.690899716
219900,227735.470279015
129900,199184.561082575
389291,430240.458520519
159400,163546.85907953
306000,254375.17867523
250000,262769.135247755
215000,259123.249494819
251060,283092.049632761
187000,193885.515796367
227500,278896.75477981
500201,442518.947664515
229000,225906.340139092
243000,226216.872330917
229500,290098.066774026
186000,227717.907602793
395000,419247.724670682
160000,136478.986902951
65000,73563.5368836536
57400,139749.575572209
170000,149037.555397846
139000,100809.459482525
180500,186900.374965813
195000,182540.256899245
377500,416432.697044102
220500,241394.739403902
317000,308187.596846363
185000,257167.953771639
273000,303241.667495741
215000,301941.759751262
333000,354088.449031023
395000,345693.162380294
205900,237773.115996463
184500,197076.310001412
241000,261003.851876117
159900,156166.694337924
452000,531666.95676557
275000,299766.774434349
225000,126722.942371526
300605,351899.458403393
215664,240834.08006116
199000,312100.057119478
155000,267307.561767628
147000,123422.893754084
199900,211021.709784932
485000,510813.123939813
468352,489767.943740106
325000,365161.187374128
179000,148096.323466174
485000,519796.574584482
87000,105956.039352986
240150,265347.435917632
149000,173604.642651196
340000,293260.002277935
190000,164150.819271779
146000,201882.244919976
165000,277173.06569644
224500,287798.231375977
175000,231115.273620907
327781,403515.459983237
251581,271519.594019182
368254,435371.301063008
210000,258957.839123512
219000,192722.665058511
784437,607456.156630474
513138,544283.388610716
225000,264014.796807046
216500,281898.527172787
505441,475579.630218145
164900,201339.146155988
216068,237784.061479509
256000,268687.438715392
286500,320154.553551452
300000,389059.623228357
495305,473166.85265751
265000,376828.635681699
145000,70251.6483206859
206200,240761.789786105
282024,298295.181985102
132200,142145.105948206
215000,230999.138610152
137000,138817.107836829
362000,419985.642743617
201500,189724.822601375
329900,397544.216240695
241000,331891.913716059
215500,208945.688641255
245000,231105.923270193
241000,292762.599534567
215000,191111.42059527
265000,293160.787831435
173125,204390.798497009
130000,177959.206163226
112000,169836.349096658
174000,207443.411515016
169000,153258.360496355
216863,240763.315702201
240000,288486.717333667
267000,287689.173534947
255000,296157.869720782
853958,593000.936592914
207000,201938.358978116
174900,214286.910024919
254900,344776.282246277
355000,438515.628670605
155000,326478.996955701
259000,310458.501878076
136000,107782.585217214
192500,200879.48138835
75000,208822.624017204
247000,277117.501695448
155025,173859.550104718
188000,213695.01209508
90000,196810.509455589
319900,405971.863517098
112000,267528.024737121
160000,238528.452200575
195000,187688.447929222
171900,175920.835444271
141753,143222.285577029
172000,238251.81474191
173000,236658.458602001
191000,234115.23336982
215000,324184.285084888
160000,180981.25202405
310000,335962.829140531
75000,172975.729730969
183000,209411.839349568
125000,153069.598250457
247000,293974.388165883
317000,298924.71450522
175000,212400.627193555
272000,298953.287354703
199000,187867.300028782
299900,359314.034407702
286000,283577.014424882
78500,78921.5650350306
99000,139698.151588502
145000,179366.8429003
179900,224790.43872046
273450,322244.892503206
170000,130526.748055288
144000,191209.178133365
93000,97001.7607950909
167150,130293.39622098
210000,232032.763672339
197000,199039.746438176
415416,414576.572018393
96000,139907.17385201
259900,287037.285167299
203000,262162.603621395
259000,286662.402724969
245500,281756.320284884
222000,227982.546280539
168000,245577.306758434
228524,267322.132897751
187000,153873.443955306
127000,103005.685136523
398703,429444.924844112
90000,94528.0670370621
314500,351804.987411965
175000,160906.545410701
350000,334208.29579287
686000,664099.759705058
636000,735490.753497588
294000,334085.610272432
296900,326567.233513911
508000,522018.28939859
230000,208602.633215144
269900,331755.486747465
220000,212571.017248297
305000,250032.551183025
300000,354826.782826718
237900,283994.096432782
188500,160955.678263523
617500,400560.20274693
330000,327318.669356323
376000,316927.630787196
231000,234851.515983041
165000,329183.653849077
210000,220909.735338947
127000,107639.425274639
175000,219277.781171986
209000,249684.197024168
430000,438749.465835645
62938,78921.5650350306
372825,389059.878704165
259900,310726.901232808
